Delivery_person_Age,Delivery_person_Ratings,Weatherconditions,Road_traffic_density,Type_of_order,Type_of_vehicle,multiple_deliveries,City,Time_taken(min),Distance
31,4.9,Sunny,High ,Snack ,motorcycle ,0,Metropolitian ,28,6.175
30,4.9,Cloudy,Medium ,Meal ,motorcycle ,0,Metropolitian ,30,13.83
36,4.8,Sandstorms,Medium ,Buffet ,motorcycle ,1,Metropolitian ,36,19.374
26,4.7,Cloudy,Jam ,Meal ,motorcycle ,1,Metropolitian ,43,20.852
33,4.7,Fog,Medium ,Buffet ,electric_scooter ,1,Urban ,15,7.763
34,4.0,Windy,Jam ,Snack ,motorcycle ,2,Metropolitian ,39,13.767
36,4.6,Windy,Low ,Buffet ,motorcycle ,1,Metropolitian ,20,12.294
33,4.6,Fog,Low ,Buffet ,motorcycle ,1,Metropolitian ,15,2.985
22,4.8,Sandstorms,Low ,Drinks ,motorcycle ,1,Metropolitian ,16,16.788
38,4.7,Sunny,Low ,Drinks ,scooter ,1,Metropolitian ,19,1.532
27,4.9,Fog,Low ,Drinks ,scooter ,0,Metropolitian ,20,12.421
32,4.8,Sunny,Jam ,Meal ,scooter ,1,Metropolitian ,25,10.445
26,4.8,Cloudy,Jam ,Snack ,motorcycle ,1,Metropolitian ,43,12.421
29,4.5,Windy,Low ,Drinks ,motorcycle ,0,Urban ,15,19.659
31,4.5,Sunny,Jam ,Buffet ,motorcycle ,0,Urban ,29,12.464
28,4.6,Stormy,High ,Drinks ,motorcycle ,0,Metropolitian ,14,6.146
21,4.8,Sunny,Medium ,Buffet ,motorcycle ,1,Metropolitian ,11,8.929
29,4.7,Cloudy,Medium ,Buffet ,motorcycle ,1,Urban ,11,5.992
20,4.8,Sunny,High ,Snack ,motorcycle ,0,Metropolitian ,14,1.53
28,5.0,Windy,Low ,Snack ,motorcycle ,0,Urban ,15,13.736
25,4.7,Sandstorms,Low ,Meal ,motorcycle ,1,Metropolitian ,16,10.706
38,4.8,Stormy,Low ,Buffet ,motorcycle ,1,Metropolitian ,20,3.105
39,4.9,Stormy,Low ,Drinks ,motorcycle ,1,Metropolitian ,26,4.61
26,4.9,Windy,Medium ,Snack ,scooter ,0,Metropolitian ,26,9.122
33,4.4,Windy,Jam ,Meal ,motorcycle ,0,Urban ,43,10.906
24,4.6,Sandstorms,Medium ,Snack ,motorcycle ,1,Urban ,25,9.088
24,4.9,Fog,Medium ,Buffet ,motorcycle ,1,Metropolitian ,28,6.232
33,4.5,Stormy,Low ,Buffet ,scooter ,0,Metropolitian ,17,13.612
35,4.2,Windy,Jam ,Drinks ,motorcycle ,1,Metropolitian ,44,13.611
27,4.2,Stormy,Jam ,Buffet ,motorcycle ,1,Metropolitian ,33,13.764
29,4.5,Sunny,Medium ,Snack ,motorcycle ,0,Metropolitian ,15,4.658
34,4.7,Fog,Low ,Buffet ,scooter ,1,Metropolitian ,27,19.343
20,4.7,Cloudy,High ,Meal ,scooter ,1,Metropolitian ,25,2.985
29,4.8,Sunny,High ,Drinks ,motorcycle ,1,Metropolitian ,18,6.059
22,4.9,Stormy,Medium ,Snack ,scooter ,0,Metropolitian ,21,9.088
35,4.9,Cloudy,Jam ,Buffet ,motorcycle ,2,Metropolitian ,53,10.417
32,4.4,Sandstorms,Jam ,Drinks ,motorcycle ,3,Metropolitian ,42,17.165
28,4.9,Sunny,Jam ,Snack ,motorcycle ,1,Metropolitian ,20,16.114
30,4.7,Fog,Low ,Meal ,scooter ,0,Metropolitian ,29,20.254
22,4.7,Stormy,Jam ,Snack ,scooter ,0,Urban ,15,17.076
36,4.7,Fog,Medium ,Buffet ,motorcycle ,1,Metropolitian ,30,7.79
23,4.8,Windy,Jam ,Snack ,motorcycle ,1,Metropolitian ,28,19.762
29,4.5,Sandstorms,Low ,Meal ,motorcycle ,1,Metropolitian ,15,19.84
34,4.9,Sandstorms,Jam ,Buffet ,motorcycle ,3,Urban ,50,17.076
38,4.1,Stormy,High ,Buffet ,motorcycle ,1,Metropolitian ,41,1.553
32,4.3,Cloudy,Medium ,Meal ,scooter ,2,Metropolitian ,35,10.281
20,4.5,Windy,Jam ,Buffet ,motorcycle ,1,Metropolitian ,27,10.867
25,4.9,Fog,Jam ,Buffet ,motorcycle ,2,Metropolitian ,43,12.418
31,4.4,Stormy,Jam ,Buffet ,motorcycle ,1,Urban ,47,16.66
37,4.5,Fog,Low ,Buffet ,motorcycle ,1,Urban ,26,7.601
36,4.9,Cloudy,Medium ,Snack ,electric_scooter ,1,Metropolitian ,31,13.184
37,3.8,Sandstorms,Jam ,Snack ,motorcycle ,1,Metropolitian ,42,20.857
37,4.4,Sandstorms,Jam ,Drinks ,motorcycle ,1,Metropolitian ,39,11.905
35,4.9,Fog,Medium ,Meal ,electric_scooter ,0,Metropolitian ,18,4.469
22,4.8,Sandstorms,Jam ,Snack ,scooter ,1,Urban ,22,13.406
28,4.8,Fog,Low ,Buffet ,motorcycle ,1,Metropolitian ,23,3.074
39,4.0,Stormy,Medium ,Drinks ,motorcycle ,0,Metropolitian ,48,20.207
29,4.5,Windy,Low ,Snack ,scooter ,0,Urban ,13,12.42
39,4.6,Sandstorms,High ,Drinks ,motorcycle ,1,Metropolitian ,32,3.105
25,4.9,Sandstorms,Jam ,Snack ,electric_scooter ,0,Urban ,16,20.206
34,5.0,Cloudy,Medium ,Snack ,electric_scooter ,0,Urban ,19,4.674
22,4.8,Sunny,Low ,Drinks ,motorcycle ,1,Metropolitian ,18,3.105
27,5.0,Windy,Jam ,Buffet ,motorcycle ,1,Metropolitian ,27,10.444
28,4.5,Sunny,Medium ,Drinks ,motorcycle ,1,Urban ,25,10.711
32,5.0,Stormy,Medium ,Drinks ,scooter ,1,Metropolitian ,31,4.674
27,4.6,Sunny,Medium ,Snack ,motorcycle ,0,Metropolitian ,20,10.757
35,3.9,Windy,Jam ,Snack ,motorcycle ,2,Metropolitian ,38,12.237
22,4.6,Windy,Low ,Buffet ,motorcycle ,1,Metropolitian ,19,4.664
30,4.6,Cloudy,Low ,Buffet ,motorcycle ,0,Urban ,24,1.515
39,4.8,Fog,High ,Drinks ,scooter ,1,Urban ,26,3.109
33,4.8,Sandstorms,Medium ,Meal ,motorcycle ,1,Metropolitian ,28,9.22
20,4.7,Sandstorms,Medium ,Snack ,scooter ,1,Urban ,16,12.257
34,4.2,Windy,Low ,Snack ,motorcycle ,0,Urban ,24,9.327
37,4.3,Stormy,High ,Meal ,scooter ,1,Metropolitian ,34,2.98
20,4.8,Cloudy,Low ,Snack ,motorcycle ,1,Urban ,16,1.53
33,4.9,Windy,Low ,Drinks ,motorcycle ,1,Metropolitian ,26,7.602
21,5.0,Fog,Medium ,Drinks ,motorcycle ,1,Metropolitian ,25,19.661
33,4.6,Fog,Medium ,Meal ,motorcycle ,2,Metropolitian ,49,10.602
24,4.6,Windy,Medium ,Snack ,electric_scooter ,0,Urban ,24,12.42
30,4.6,Sunny,Medium ,Buffet ,motorcycle ,1,Metropolitian ,26,4.589
32,4.9,Sandstorms,Low ,Buffet ,scooter ,1,Metropolitian ,24,13.83
28,4.6,Stormy,Jam ,Drinks ,electric_scooter ,0,Metropolitian ,16,19.976
21,4.7,Windy,Jam ,Drinks ,scooter ,1,Metropolitian ,27,19.374
39,4.9,Fog,High ,Drinks ,motorcycle ,1,Metropolitian ,25,3.053
32,4.7,Cloudy,Low ,Drinks ,motorcycle ,0,Metropolitian ,26,3.105
20,4.5,Sandstorms,Jam ,Buffet ,scooter ,1,Urban ,25,9.179
36,5.0,Fog,Low ,Meal ,scooter ,1,Urban ,15,1.49
28,4.8,Sunny,Low ,Buffet ,scooter ,1,Urban ,18,3.105
32,4.5,Fog,Jam ,Buffet ,motorcycle ,1,Metropolitian ,30,7.661
39,4.4,Cloudy,Jam ,Drinks ,scooter ,1,Metropolitian ,46,17.076
30,4.7,Windy,Low ,Drinks ,motorcycle ,1,Metropolitian ,24,16.721
32,4.4,Sandstorms,Medium ,Drinks ,motorcycle ,1,Metropolitian ,37,6.128
23,4.6,Windy,Jam ,Snack ,motorcycle ,1,Metropolitian ,27,13.611
31,4.2,Windy,Medium ,Meal ,electric_scooter ,1,Metropolitian ,32,9.074
37,4.6,Stormy,High ,Buffet ,electric_scooter ,1,Urban ,28,3.059
20,4.5,Sandstorms,Jam ,Drinks ,motorcycle ,1,Metropolitian ,29,7.602
28,4.5,Sandstorms,Low ,Snack ,motorcycle ,1,Metropolitian ,27,1.49
22,4.9,Cloudy,Low ,Snack ,motorcycle ,0,Metropolitian ,11,1.555
20,4.7,Cloudy,Medium ,Buffet ,motorcycle ,1,Urban ,13,9.22
34,4.8,Windy,Low ,Buffet ,scooter ,1,Metropolitian ,27,19.619
38,4.8,Windy,High ,Snack ,scooter ,1,Metropolitian ,25,6.209
32,4.5,Cloudy,High ,Buffet ,motorcycle ,1,Metropolitian ,27,6.036
34,4.9,Sunny,Low ,Snack ,scooter ,1,Metropolitian ,26,16.853
33,3.9,Windy,Medium ,Meal ,electric_scooter ,1,Metropolitian ,32,13.613
34,4.5,Windy,Low ,Meal ,motorcycle ,1,Metropolitian ,25,3.025
34,4.7,Sunny,Jam ,Drinks ,motorcycle ,1,Metropolitian ,29,7.773
26,4.6,Cloudy,Jam ,Buffet ,scooter ,0,Metropolitian ,32,10.641
31,4.0,Cloudy,Low ,Drinks ,motorcycle ,1,Metropolitian ,35,12.421
39,4.8,Sunny,High ,Drinks ,motorcycle ,1,Metropolitian ,27,6.081
32,5.0,Cloudy,Jam ,Buffet ,scooter ,1,Urban ,27,7.683
32,4.5,Stormy,Medium ,Meal ,motorcycle ,1,Metropolitian ,30,7.568
39,4.1,Sunny,Medium ,Snack ,motorcycle ,1,Metropolitian ,32,10.565
36,4.8,Stormy,Low ,Meal ,electric_scooter ,0,Metropolitian ,25,1.532
37,4.1,Windy,Medium ,Buffet ,motorcycle ,1,Metropolitian ,38,4.657
37,4.8,Fog,Jam ,Meal ,scooter ,1,Metropolitian ,26,9.054
38,3.7,Stormy,Jam ,Meal ,motorcycle ,1,Metropolitian ,31,16.853
28,4.7,Stormy,High ,Drinks ,scooter ,1,Metropolitian ,28,3.018
34,3.8,Stormy,Medium ,Meal ,scooter ,0,Metropolitian ,31,16.852
32,4.9,Cloudy,Low ,Buffet ,motorcycle ,1,Metropolitian ,29,17.075
22,4.7,Windy,Low ,Buffet ,motorcycle ,0,Urban ,17,8.938
31,4.0,Windy,Medium ,Drinks ,motorcycle ,3,Metropolitian ,45,13.62
27,4.0,Sandstorms,Medium ,Meal ,motorcycle ,1,Metropolitian ,34,12.435
29,4.9,Windy,Jam ,Drinks ,scooter ,0,Metropolitian ,24,17.137
38,4.8,Sandstorms,Jam ,Meal ,motorcycle ,3,Metropolitian ,44,9.348
35,4.8,Cloudy,Jam ,Snack ,motorcycle ,2,Metropolitian ,36,7.602
31,4.9,Sunny,Jam ,Meal ,motorcycle ,0,Metropolitian ,28,4.658
30,4.3,Windy,Medium ,Drinks ,scooter ,2,Metropolitian ,37,13.97
33,4.8,Stormy,Low ,Drinks ,motorcycle ,0,Urban ,23,13.83
29,4.6,Sandstorms,Low ,Meal ,motorcycle ,0,Metropolitian ,22,10.279
38,4.6,Stormy,High ,Snack ,scooter ,1,Metropolitian ,26,6.118
26,4.9,Sandstorms,Jam ,Drinks ,motorcycle ,1,Metropolitian ,34,9.056
34,4.2,Stormy,Low ,Meal ,motorcycle ,1,Metropolitian ,28,9.193
26,4.7,Windy,Low ,Snack ,motorcycle ,0,Metropolitian ,14,8.943
35,4.7,Cloudy,Medium ,Meal ,motorcycle ,1,Metropolitian ,17,6.051
36,4.2,Sandstorms,Medium ,Drinks ,motorcycle ,1,Metropolitian ,37,4.658
24,2.6,Sunny,Low ,Drinks ,motorcycle ,1,Metropolitian ,42,16.66
33,4.3,Cloudy,Medium ,Meal ,motorcycle ,1,Metropolitian ,34,16.826
26,4.6,Windy,Medium ,Buffet ,motorcycle ,1,Metropolitian ,25,16.788
